,YYYYMMDD,DR,RH,RHX
341,19301208,15.0,12.0,9.0
342,19301209,78.0,68.0,14.0
343,19301210,0.0,0.0,0.0
344,19301211,2.0,2.0,1.0
345,19301212,33.0,36.0,12.0
346,19301213,43.0,72.0,33.0
347,19301214,15.0,30.0,15.0
348,19301215,0.0,3.0,1.0
349,19301216,0.0,0.0,0.0
350,19301217,0.0,0.0,0.0
351,19301218,18.0,42.0,27.0
352,19301219,19.0,13.0,3.0
353,19301220,0.0,0.0,0.0
354,19301221,0.0,1.0,1.0
355,19301222,0.0,0.0,0.0
356,19301223,0.0,2.0,1.0
357,19301224,42.0,23.0,8.0
358,19301225,55.0,28.0,6.0
359,19301226,55.0,46.0,10.0
360,19301227,18.0,33.0,19.0
361,19301228,0.0,0.0,0.0
362,19301229,3.0,2.0,1.0
363,19301230,32.0,38.0,9.0
364,19301231,16.0,13.0,8.0
365,19310101,23.0,17.0,7.0
366,19310102,2.0,2.0,2.0
367,19310103,42.0,60.0,27.0
368,19310104,33.0,56.0,14.0
369,19310105,8.0,18.0,10.0
370,19310106,3.0,4.0,2.0
371,19310107,0.0,2.0,1.0
372,19310108,0.0,0.0,0.0
373,19310109,0.0,0.0,0.0
374,19310110,0.0,0.0,0.0
375,19310111,10.0,8.0,3.0
376,19310112,121.0,69.0,9.0
377,19310113,83.0,25.0,4.0
378,19310114,0.0,0.0,0.0
379,19310115,22.0,19.0,7.0
380,19310116,67.0,95.0,24.0
381,19310117,36.0,56.0,20.0
382,19310118,17.0,33.0,13.0
383,19310119,59.0,46.0,13.0
384,19310120,3.0,4.0,2.0
385,19310121,0.0,1.0,1.0
386,19310122,3.0,3.0,3.0
387,19310123,82.0,101.0,19.0
388,19310124,11.0,41.0,21.0
389,19310125,0.0,0.0,0.0
390,19310126,17.0,53.0,19.0
391,19310127,53.0,57.0,13.0
392,19310128,36.0,24.0,6.0
393,19310129,40.0,32.0,10.0
394,19310130,6.0,7.0,3.0
395,19310131,0.0,0.0,0.0
396,19310201,0.0,0.0,0.0
397,19310202,6.0,4.0,3.0
398,19310203,7.0,2.0,1.0
399,19310204,0.0,0.0,0.0
400,19310205,0.0,0.0,0.0
401,19310206,0.0,0.0,0.0
402,19310207,0.0,0.0,0.0
403,19310208,0.0,0.0,0.0
404,19310209,48.0,26.0,9.0
405,19310210,49.0,57.0,13.0
406,19310211,38.0,109.0,46.0
407,19310212,20.0,31.0,15.0
408,19310213,24.0,22.0,8.0
409,19310214,2.0,2.0,1.0
410,19310215,14.0,15.0,12.0
411,19310216,98.0,97.0,20.0
412,19310217,3.0,1.0,1.0
413,19310218,47.0,41.0,11.0
414,19310219,0.0,0.0,0.0
415,19310220,0.0,0.0,0.0
416,19310221,89.0,125.0,26.0
417,19310222,0.0,0.0,0.0
418,19310223,2.0,6.0,6.0
419,19310224,1.0,1.0,1.0
420,19310225,35.0,32.0,9.0
421,19310226,55.0,79.0,24.0
422,19310227,0.0,0.0,0.0
423,19310228,175.0,242.0,33.0
424,19310301,7.0,4.0,3.0
425,19310302,0.0,1.0,1.0
426,19310303,0.0,0.0,0.0
427,19310304,0.0,0.0,0.0
428,19310305,0.0,0.0,0.0
429,19310306,0.0,0.0,0.0
430,19310307,0.0,0.0,0.0
431,19310308,0.0,0.0,0.0
432,19310309,0.0,0.0,0.0
433,19310310,28.0,34.0,13.0
